Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\conn\params,7,683,223,151,17,77,3,383,2138,182,1169
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\conn\scheme,2,220,95,62,10,22,0,103,506,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\conn\ssl,5,1069,621,343,64,105,1,343,1828,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\cookie,1,61,16,11,0,9,0,36,213,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\cookie\params,1,61,16,11,0,9,0,36,213,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\impl,63,12763,6877,4633,792,1555,36,4331,24273,1643,10529
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\impl\auth,3,337,128,86,14,39,0,170,918,78,501
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\impl\client,18,4414,2516,1656,299,505,13,1393,7532,468,3006
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\impl\conn,29,6718,3650,2501,416,862,23,2206,12616,759,4851
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\impl\conn\tsccm,11,2462,1121,791,128,343,11,998,5575,291,1845
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java-deprecated\org\apache\http\impl\cookie,13,1294,583,390,63,149,0,562,3207,338,2171
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org,322,42232,20323,14016,2679,4498,81,17411,98682,8470,54037
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache,322,42232,20323,14016,2679,4498,81,17411,98682,8470,54037
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http,322,42232,20323,14016,2679,4498,81,17411,98682,8470,54037
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth,23,2205,763,535,110,242,0,1200,6523,605,3855
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\params,2,108,8,6,0,9,0,91,507,56,341
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client,74,9230,3808,2720,549,986,12,4436,24384,1946,12407
